timestamp,pan_id,forecast_rain_mm,rain_probability_pct,actual_rainfall_mm,air_temperature_c,humidity_pct,wind_speed_m_s
2024-04-01,PAN-1,0.0,5,0.0,32.5,55,3.2
2024-04-02,PAN-1,0.0,10,0.0,33.0,52,2.8
2024-04-03,PAN-1,12.5,65,14.2,28.0,78,5.1
2024-04-04,PAN-1,2.0,30,1.5,30.5,62,3.5
2024-04-05,PAN-1,0.0,5,0.0,33.5,48,2.5
2024-04-01,PAN-2,0.0,5,0.0,32.0,58,3.0
2024-04-02,PAN-2,0.0,10,0.0,32.5,55,2.6
2024-04-03,PAN-2,15.0,70,18.0,27.5,80,5.5
2024-04-04,PAN-2,3.0,35,2.2,30.0,64,3.8
2024-04-05,PAN-2,0.0,5,0.0,33.0,50,2.3
2024-04-01,PAN-3,0.0,8,0.0,31.5,60,2.9
2024-04-02,PAN-3,0.0,12,0.0,32.0,57,2.7
2024-04-03,PAN-3,10.0,60,11.5,28.5,75,4.8
2024-04-04,PAN-3,1.5,25,1.0,31.0,60,3.3
2024-04-05,PAN-3,0.0,5,0.0,33.0,49,2.4
